20140102;385;Jueves
20140103;815;Viernes
20140107;212;Martes
20140108;627;Miércoles
20140109;34;Jueves
20140110;369;Viernes
20140113;406;Lunes
20140114;279;Martes
20140115;210;Miércoles
20140116;838;Jueves
20140117;457;Viernes
20140120;26;Lunes
20140121;605;Martes
20140122;167;Miércoles
20140123;326;Jueves
20140124;133;Viernes
20140125;61;Sábado
20140127;221;Lunes
20140128;149;Martes
20140129;221;Miércoles
20140130;505;Jueves
20140131;222;Viernes
20140203;511;Lunes
20140204;372;Martes
20140205;461;Miércoles
20140206;163;Jueves
20140207;306;Viernes
20140210;892;Lunes
20140211;616;Martes
20140212;196;Miércoles
20140213;926;Jueves
20140214;535;Viernes
20140217;645;Lunes
20140218;352;Martes
20140219;487;Miércoles
20140220;370;Jueves
20140221;133;Viernes
20140224;797;Lunes
20140225;714;Martes
20140226;694;Miércoles
20140227;675;Jueves
20140228;500;Viernes
20140303;923;Lunes
20140304;804;Martes
20140306;891;Jueves
20140307;433;Viernes
20140310;906;Lunes
20140311;1615;Martes
20140312;344;Miércoles
20140313;921;Jueves
20140314;604;Viernes
20140317;646;Lunes
20140318;1062;Martes
20140319;399;Miércoles
20140320;988;Jueves
20140321;461;Viernes
20140322;207;Sábado
20140324;680;Lunes
20140325;609;Martes
20140326;614;Miércoles
20140327;247;Jueves
20140328;508;Viernes
20140331;813;Lunes
20140401;287;Martes
20140402;814;Miércoles
20140403;580;Jueves
20140404;486;Viernes
20140407;359;Lunes
20140408;664;Martes
20140409;523;Miércoles
20140410;430;Jueves
20140411;527;Viernes
20140414;543;Lunes
20140415;777;Martes
20140416;750;Miércoles
20140421;720;Lunes
20140422;660;Martes
20140423;878;Miércoles
20140424;394;Jueves
20140425;671;Viernes
20140426;152;Sábado
20140428;1003;Lunes
20140429;831;Martes
20140430;712;Miércoles
20140502;508;Viernes
20140503;302;Sábado
20140505;619;Lunes
20140506;615;Martes
20140507;1188;Miércoles
20140508;564;Jueves
20140509;875;Viernes
20140512;754;Lunes
20140513;864;Martes
20140514;1115;Miércoles
20140515;606;Jueves
20140516;350;Viernes
20140519;533;Lunes
20140520;891;Martes
20140521;973;Miércoles
20140522;929;Jueves
20140523;646;Viernes
20140526;669;Lunes
20140527;734;Martes
20140528;776;Miércoles
20140529;697;Jueves
20140530;654;Viernes
20140602;853;Lunes
20140603;795;Martes
20140604;709;Miércoles
20140605;326;Jueves
20140606;618;Viernes
20140607;78;Sábado
20140609;750;Lunes
20140610;722;Martes
20140611;752;Miércoles
20140612;415;Jueves
20140613;475;Viernes
20140616;961;Lunes
20140617;1097;Martes
20140618;845;Miércoles
20140619;559;Jueves
20140620;629;Viernes
20140623;734;Lunes
20140624;874;Martes
20140625;709;Miércoles
20140626;687;Jueves
20140627;692;Viernes
20140628;411;Sábado
20140630;568;Lunes
20140701;566;Martes
20140702;572;Miércoles
20140703;594;Jueves
20140704;521;Viernes
20140707;394;Lunes
20140708;545;Martes
20140709;961;Miércoles
20140710;387;Jueves
20140714;1268;Lunes
20140715;616;Martes
20140716;778;Miércoles
20140717;1000;Jueves
20140718;675;Viernes
20140719;135;Sábado
20140721;880;Lunes
20140722;796;Martes
20140723;1061;Miércoles
20140724;638;Jueves
20140728;1301;Lunes
20140729;928;Martes
20140730;916;Miércoles
20140731;716;Jueves
20140801;717;Viernes
20140804;804;Lunes
20140805;392;Martes
20140806;740;Miércoles
20140807;899;Jueves
20140808;948;Viernes
20140811;661;Lunes
20140812;387;Martes
20140813;752;Miércoles
20140814;1066;Jueves
20140818;788;Lunes
20140819;1000;Martes
20140820;1378;Miércoles
20140821;1574;Jueves
20140822;1117;Viernes
20140825;692;Lunes
20140826;740;Martes
20140827;872;Miércoles
20140828;716;Jueves
20140829;600;Viernes
20140901;1170;Lunes
20140902;492;Martes
20140903;555;Miércoles
20140904;918;Jueves
20140905;268;Viernes
20140906;83;Sábado
20140908;1046;Lunes
20140909;540;Martes
20140910;726;Miércoles
20140911;591;Jueves
20140912;608;Viernes
20140915;648;Lunes
20140916;877;Martes
20140917;562;Miércoles
20140918;543;Jueves
20140919;499;Viernes
20140920;216;Sábado
20140922;789;Lunes
20140923;1006;Martes
20140924;952;Miércoles
20140925;595;Jueves
20140926;584;Viernes
20140927;303;Sábado
20140929;686;Lunes
20140930;633;Martes
20141001;734;Miércoles
20141002;947;Jueves
20141003;369;Viernes
20141006;939;Lunes
20141007;583;Martes
20141008;949;Miércoles
20141009;595;Jueves
20141010;431;Viernes
20141013;807;Lunes
20141014;879;Martes
20141015;906;Miércoles
20141016;661;Jueves
20141017;600;Viernes
20141020;930;Lunes
20141021;668;Martes
20141022;1082;Miércoles
20141023;755;Jueves
20141024;574;Viernes
20141027;794;Lunes
20141028;772;Martes
20141029;945;Miércoles
20141030;960;Jueves
20141031;669;Viernes
20141103;934;Lunes
20141104;836;Martes
20141105;791;Miércoles
20141106;664;Jueves
20141107;415;Viernes
20141110;878;Lunes
20141111;678;Martes
20141112;591;Miércoles
20141113;1025;Jueves
20141114;680;Viernes
20141115;49;Sábado
20141117;901;Lunes
20141118;901;Martes
20141119;1030;Miércoles
20141120;593;Jueves
20141121;726;Viernes
20141124;858;Lunes
20141125;739;Martes
20141126;734;Miércoles
20141127;869;Jueves
20141128;661;Viernes
20141201;800;Lunes
20141202;873;Martes
20141203;875;Miércoles
20141204;869;Jueves
20141205;500;Viernes
20141209;960;Martes
20141210;996;Miércoles
20141211;938;Jueves
20141212;705;Viernes
20141213;162;Sábado
20141215;1150;Lunes
20141216;809;Martes
